"","rnk"
"PTPRD",4.0765854541643
"CASP14",4.06363631855897
"ENSG00000289251",4.06116852596845
"LINC01226",4.0524250111557
"GALR1",4.04357297375444
"LINC02965",4.0429412195391
"PTPRN",4.02890260865633
"PPP2R2B",4.02581836228805
"ANKRD33",4.02420573367806
"ENSG00000255216",4.0229707091412
"ENSG00000285564",4.01999226240269
"LINC00320",4.01927439542213
"MYO15A",4.01911486536811
"ENSG00000286757",4.01827224424759
"SERPINB9",4.01632918057658
"IGLV4-69",4.01489131573747
"PLIN2",4.01357985352931
"TMEM132D",4.01193574025592
"TPI1",4.00425789090574
"SLC8A2",4.00303371885438
"MYT1L",4.00011966675837
"EFNA3",3.99928244616728
"MICE",3.99824979993253
"KLK15",3.99548828274502
"BAGE2",3.99515627508451
"ENSG00000278106",3.99217697130618
"IGLV3-1",3.98887351394654
"ST8SIA2",3.98873560787952
"RFPL3S",3.98814532888088
"ENSG00000237530",3.98733165255415
"MFSD12",3.97655738899287
"GABRG3",3.97642510401677
"FAT3",3.97139156041279
"IL6",3.96922722367306
"ELL2",3.96013212070173
"ENSG00000259436",3.96007278619367
"RELN",3.95723604759284
"ENSG00000288978",3.95291697861936
"EPHA6",3.94765602168989
"DGKB",3.9467389594411
"NPHS1",3.94469574755885
"PRKAG2",3.94133049576651
"ENSG00000286232",3.94091874193234
"MXD1",3.9345980956485
"ENSG00000234089",3.92792351368852
"ENSG00000279080",3.92659437736287
"LINC01980",3.92036239786893
"ALOXE3",3.91408251109794
"MIR4300HG",3.90442341860607
"SPATC1",3.89982224800706
"SLC12A3",3.89812536307253
"ENSG00000286071",3.896635344917
"PAH",3.89478043404226
"WASF3-AS1",3.89331194391168
"TRIB3",3.89188628140248
"RPH3A",3.89059559749106
"FGGY-DT",3.88965394893092
"MRPS6",3.88719169115394
"BARHL2",3.88387671007747
"HECW1",3.88306237927955
"FAM131B",3.88137243580902
"ENSG00000253736",3.88132682464875
"ENSG00000203620",3.88014422374064
"MROH2B",3.8764239532701
"MOBP",3.87575939907425
"LINC01512",3.87294545517135
"ENSG00000279743",3.86912546359022
"DMBX1",3.86535277897173
"VSTM2B-DT",3.86356198894235
"OVAAL",3.8579831698073
"PLA2G2C",3.85708207102091
"CYP4F2",3.8536545229156
"ENSG00000254746",3.85278825962975
"TMEM132B",3.84901484332351
"GRIN2A",3.84324586816987
"GADD45B",3.84097823368754
"NTRK1",3.84070809914043
"ENSG00000223646",3.84045506645901
"LINC01879",3.83865043455732
"FER1L6-AS2",3.83738703886987
"LINC02443",3.8294404341837
"GALNT9",3.8282311360137
"SLC2A7",3.82626296125062
"PES1P1",3.82590480271537
"PLAU",3.82536738544237
"RYR3",3.8240191618918
"NPTX1",3.81390854001022
"SPATA31D2P",3.81277974585678
"LINC02669",3.80967589203873
"SNTG1",3.80823776077397
"LINC00840",3.808149019598
"HULC",3.80538104118393
"COL2A1",3.79883504799131
"UMODL1",3.79863952321857
"ASIC2",3.79404946634882
"LINC01445",3.79282371031779
"ADAM18",3.79096180658353
"ENSG00000287589",3.79025610621964
"LDLRAD2",3.78920869784355
"GPR26",3.78887312728858
"ENSG00000231876",3.78817979504359
"SLC17A4",3.78644995059456
"LINC01366",3.7844002564542
"STMN3",3.78131389624571
"LINC01579",3.78022648851519
"OR7A17",3.77937339917785
"SLC7A14",3.7788244396219
"ENSG00000233491",3.77834207980387
"PKN2-AS1",3.77821450992161
"GFPT2",3.77530481699093
"KCNQ2",3.76800267245429
"KLHL21",3.75885234210402
"LINC02808",3.75809879163503
"LINC02405",3.75664116053706
"ILDR2",3.7560390341862
"NEUROD2",3.75423229722355
"ENSG00000260926",3.75421105754524
"MIR4500HG",3.75141960050405
"MYCNOS",3.74904607766089
"ENSG00000226668",3.74844651960416
"ENSG00000260073",3.74744164297049
